범죄명,장소,발생건수
살인,"아파트,연립다세대",30
살인,단독주택,26
살인,고속도로,0
살인,노상,30
살인,상점,1
살인,"시장,노점",0
살인,숙박업소목욕탕,4
살인,유흥접객업소,4
살인,사무실,3
살인,공장,0
살인,공사장광산,1
살인,창고,0
살인,"역,대합실",1
살인,지하철,0
살인,기타교통수단내,0
살인,흥행장,0
살인,유원지,1
살인,학교,0
살인,금융기관,0
살인,의료기관,8
살인,종교기관,1
살인,산야,0
살인,해상,0
살인,부대,0
살인,구금장소,0
살인,공지,0
살인,기타,14
강도,"아파트,연립다세대",25
강도,단독주택,10
강도,고속도로,0
강도,노상,31
강도,상점,25
강도,"시장,노점",0
강도,숙박업소목욕탕,4
강도,유흥접객업소,2
강도,사무실,5
강도,공장,0
강도,공사장광산,0
강도,창고,1
강도,"역,대합실",1
강도,지하철,0
강도,기타교통수단내,2
강도,흥행장,0
강도,유원지,2
강도,학교,0
강도,금융기관,1
강도,의료기관,1
강도,종교기관,0
강도,산야,0
강도,해상,0
강도,부대,0
강도,구금장소,0
강도,공지,0
강도,기타,12
강간.추행,"아파트,연립다세대",596
강간.추행,단독주택,625
강간.추행,고속도로,0
강간.추행,노상,689
강간.추행,상점,161
강간.추행,"시장,노점",11
강간.추행,숙박업소목욕탕,302
강간.추행,유흥접객업소,377
강간.추행,사무실,177
강간.추행,공장,3
강간.추행,공사장광산,1
강간.추행,창고,1
강간.추행,"역,대합실",188
강간.추행,지하철,495
강간.추행,기타교통수단내,163
강간.추행,흥행장,8
강간.추행,유원지,56
강간.추행,학교,37
강간.추행,금융기관,2
강간.추행,의료기관,103
강간.추행,종교기관,12
강간.추행,산야,2
강간.추행,해상,0
강간.추행,부대,0
강간.추행,구금장소,1
강간.추행,공지,0
강간.추행,기타,901
절도,"아파트,연립다세대",2632
절도,단독주택,1705
절도,고속도로,1
절도,노상,10117
절도,상점,8054
절도,"시장,노점",312
절도,숙박업소목욕탕,254
절도,유흥접객업소,1204
절도,사무실,472
절도,공장,34
절도,공사장광산,177
절도,창고,103
절도,"역,대합실",362
절도,지하철,348
절도,기타교통수단내,410
절도,흥행장,41
절도,유원지,417
절도,학교,141
절도,금융기관,635
절도,의료기관,230
절도,종교기관,53
절도,산야,26
절도,해상,0
절도,부대,0
절도,구금장소,1
절도,공지,4
절도,기타,5798
폭력,"아파트,연립다세대",6565
폭력,단독주택,5558
폭력,고속도로,32
폭력,노상,15054
폭력,상점,1214
폭력,"시장,노점",147
폭력,숙박업소목욕탕,418
폭력,유흥접객업소,2046
폭력,사무실,1160
폭력,공장,49
폭력,공사장광산,169
폭력,창고,15
폭력,"역,대합실",495
폭력,지하철,324
폭력,기타교통수단내,637
폭력,흥행장,21
폭력,유원지,393
폭력,학교,147
폭력,금융기관,56
폭력,의료기관,320
폭력,종교기관,101
폭력,산야,16
폭력,해상,0
폭력,부대,2
폭력,구금장소,4
폭력,공지,2
폭력,기타,6812
