office,location,Latitude,Longitude
강남,서울특별시 강남구 테헤란로114길 11,37.5092298,127.0670893
강동,서울특별시 강동구 성내로 57,37.5286822,127.1267357
강북,서울특별시 강북구 오패산로 406,37.6372958,127.0273511
강서,서울특별시 강서구 화곡로 308,37.5512778,126.8500113
관악,서울특별시 관악구 관악로5길 33,37.4744399,126.9511936
광진,서울특별시 광진구 구의동 자양로 167,37.5428231,127.0838395
구로,서울특별시 구로구 새말로 97 신도림테크노마트 5층,37.5070431,126.8902185
금천,서울특별시 금천구 시흥대로73길 50,37.4571243,126.8967562
남대문,서울특별시 중구 한강대로 410,37.5548232,126.9736623
노원,서울특별시 노원구 노원로 283,37.6423565,127.0712627
도봉,서울특별시 도봉구 노해로 403,37.6540208,127.0525818
동대문,서울특별시 동대문구 약령시로21길 29,37.5850504,127.0456786
동작,서울특별시 동작구 노량진로 148,37.5129966,126.9427749
마포,서울특별시 마포구 마포대로 183,37.5507439,126.9542594
방배,서울특별시 서초구 동작대로 204,37.4947648,126.9833171
서대문,서울특별시 서대문구 통일로 113,37.5648701,126.9668814
서부,서울특별시 은평구 진흥로 58,37.6020464,126.9213135
서초,서울특별시 서초구 서초3동 반포대로 179,37.4954676,127.0053395
성동,서울특별시 성동구 행당동 왕십리광장로 9,37.5616915,127.0363006
성북,서울특별시 성북구 삼선동 보문로 170,37.5898228,127.0163427
송파,서울특별시 송파구 중대로 221,37.5019548,127.1271488
수서,서울특별시 강남구 개포로 617,37.4933303,127.0769501
양천,서울특별시 양천구 목동동로 99,37.5167467,126.8656595
영등포,서울특별시 영등포구 국회대로 608,37.5259936,126.9010457
용산,서울특별시 용산구 원효로89길 24,37.5410571,126.9674
은평,서울특별시 은평구 연서로 365,37.6281811,126.9286364
종로,서울특별시 종로구 인사동5길 41,37.57179,126.9841596
종암,서울특별시 성북구 월곡제2동 94-5,37.6044835,127.0446137
중랑,서울특별시 중랑구 신내역로3길 40-10,37.6175742,127.1047529
중부,서울특별시 중구 수표로 27,37.5635946,126.9897355
혜화,서울특별시 종로구 창경궁로 112-16,37.5720451,126.9988518
